iter	Passed	Remaining
570	4178	69002
571	4186	68996
572	4192	68979
573	4200	68984
574	4207	68973
575	4214	68956
576	4222	68960
577	4229	68944
578	4236	68934
579	4243	68926
580	4251	68929
581	4259	68924
582	4267	68926
583	4273	68908
584	4281	68902
585	4288	68896
586	4296	68894
587	4303	68880
588	4310	68871
589	4324	68973
590	4331	68966
591	4338	68950
592	4346	68954
593	4354	68959
594	4362	68962
595	4371	68974
596	4378	68968
597	4386	68963
598	4395	68991
599	4400	68937
600	4407	68931
601	4415	68935
602	4424	68952
603	4434	68987
604	4444	69023
605	4454	69049
606	4459	69011
607	4467	69013
608	4475	69014
609	4483	69016
610	4492	69039
611	4501	69058
612	4511	69082
613	4519	69088
614	4529	69118
615	4539	69159
616	4547	69151
617	4557	69190
618	4579	69395
619	4589	69438
620	4601	69502
621	4609	69494
622	4617	69500
623	4626	69517
624	4635	69539
625	4648	69609
626	4658	69635
627	4665	69627
628	4672	69615
629	4679	69601
630	4686	69589
631	4693	69567
632	4701	69567
633	4708	69558
634	4714	69535
635	4723	69542
636	4731	69543
637	4739	69553
638	4747	69553
639	4755	69544
640	4764	69561
641	4771	69547
642	4778	69543
643	4786	69543
644	4790	69480
645	4797	69464
646	4801	69417
647	4805	69347
648	4810	69317
649	4818	69315
650	4825	69300
651	4833	69302
652	4839	69277
653	4847	69268
654	4855	69271
655	4863	69272
656	4871	69271
657	4878	69265
658	4887	69272
659	4896	69287
660	4903	69283
661	4913	69307
662	4921	69311
663	4931	69336
664	4941	69372
665	4952	69408
666	4963	69454
667	4971	69448
668	4979	69456
669	4991	69511
670	5002	69544
671	5009	69541
672	5017	69539
673	5025	69530
674	5032	69528
675	5041	69534
676	5049	69536
677	5058	69545
678	5066	69549
679	5075	69559
680	5082	69551
681	5086	69494
682	5095	69505
683	5098	69438
684	5105	69424
685	5112	69419
686	5120	69416
687	5128	69413
688	5136	69418
689	5145	69428
690	5153	69426
691	5161	69425
692	5169	69421
693	5177	69423
694	5185	69429
695	5193	69432
696	5202	69439
697	5211	69455
698	5220	69465
699	5228	69462
700	5236	69467
701	5245	69482
702	5253	69479
703	5263	69498
704	5272	69510
705	5281	69520
706	5289	69532
707	5300	69559
708	5305	69527
709	5313	69521
710	5322	69534
711	5331	69545
712	5340	69558
713	5348	69561
714	5357	69576
715	5367	69592
716	5375	69594
717	5383	69590
718	5390	69580
719	5397	69570
720	5406	69579
721	5413	69565
722	5420	69556
723	5429	69560
724	5438	69579
725	5447	69580
726	5450	69518
727	5457	69508
728	5465	69508
729	5473	69501
730	5480	69496
731	5489	69498
732	5498	69509
733	5505	69500
734	5512	69483
735	5520	69486
736	5528	69479
737	5535	69475
738	5542	69459
739	5549	69444
740	5558	69452
741	5567	69467
742	5575	69469
743	5582	69453
744	5589	69439
745	5597	69431
746	5605	69440
747	5613	69430
748	5621	69427
749	5628	69420
750	5636	69410
751	5643	69397
752	5650	69388
753	5657	69381
754	5664	69365
